name,alt_name,ra,dec,vmag,class
HR 2491,9Alp CMa,101.2870833,-16.7161111,-1.46,STAR A1V
HR 2326,Alp Car,95.98791667,-52.6958055,-0.72,STAR F0II
HR 5340,16Alp Boo,213.9154166,19.1825,-0.04,STAR K1III
HR 5459,Alp1Cen,219.8995833,-60.8353055,-0.01,STAR G2V
HR 7001,3Alp Lyr,279.2345833,38.78361111,0.03,STAR A0V
HR 1708,13Alp Aur,79.1725,45.99811111,0.08,STAR G5III
HR 1713,19Bet Ori,78.63458333,-8.20169444,0.12,STAR B8I
HR 2943,10Alp CMi,114.8254166,5.225,0.38,STAR F5IV
HR 472,Alp Eri,24.42870833,-57.2366944,0.46,STAR B3V
HR 2061,58Alp Ori,88.79291667,7.40688889,0.5,STAR M1I
HR 5267,Bet Cen,210.9557916,-60.3731111,0.61,STAR B1III
HR 7557,53Alp Aql,297.6957916,8.86830556,0.77,STAR A7V
HR 1457,87Alp Tau,68.98,16.50919444,0.85,STAR K5III
HR 6134,21Alp Sco,247.3517083,-26.4318888,0.96,STAR M1I
HR 5056,67Alp Vir,201.2982916,-11.1613888,0.98,STAR B1III
HR 2990,78Bet Gem,116.3287916,28.02611111,1.14,STAR K0III
HR 8728,24Alp PsA,344.4129166,-29.6221944,1.16,STAR A3V
HR 7924,50Alp Cyg,310.3579166,45.28030556,1.25,STAR A2I
HR 4853,Bet Cru,191.93,-59.6886111,1.25,STAR B0III
HR 5460,Alp2Cen,219.9004166,-60.8356111,1.33,STAR K1V
HR 4730,Alp1Cru,186.6495833,-63.0991944,1.33,STAR B0IV
HR 3982,32Alp Leo,152.0929166,11.96719444,1.35,STAR B7V
HR 2618,21Eps CMa,104.6562083,-28.9721944,1.5,STAR B2II
HR 6527,35Lam Sco,263.4020833,-37.1038888,1.63,STAR B2IV
HR 4763,Gam Cru,187.7912083,-57.1133055,1.63,STAR M3III
HR 1790,24Gam Ori,81.28291667,6.34969444,1.64,STAR B2III
HR 1791,112Bet Tau,81.57291667,28.6075,1.65,STAR B7III
HR 3685,Bet Car,138.3,-69.7171944,1.68,STAR A2IV
HR 1903,46Eps Ori,84.05329167,-1.20188889,1.7,STAR B0I
HR 4731,Alp2Cru,186.6520833,-63.0993888,1.73,STAR B1V
HR 8425,Alp Gru,332.0582916,-46.9611111,1.74,STAR B7IV
HR 4905,77Eps UMa,193.5070833,55.95969444,1.77,STAR A0
HR 3207,Gam2Vel,122.3832916,-47.3366944,1.78,STAR
HR 1017,33Alp Per,51.08079167,49.86111111,1.79,STAR F5I
HR 4301,50Alp UMa,165.9320833,61.75080556,1.79,STAR K0III
HR 2693,25Del CMa,107.0979166,-26.3933055,1.84,STAR F8I
HR 6879,20Eps Sgr,276.0429166,-34.3846944,1.85,STAR B9III
HR 5191,85Eta UMa,206.885,49.31330556,1.86,STAR B3V
HR 3307,Eps Car,125.6282916,-59.5096944,1.86,STAR K3III
HR 6553,The Sco,264.33,-42.9978055,1.87,STAR F1II
HR 2088,34Bet Aur,89.88208333,44.9475,1.9,STAR A2IV
HR 6217,Alp TrA,252.1662083,-69.0278055,1.92,STAR K2II
HR 2421,24Gam Gem,99.42791667,16.39919444,1.93,STAR A0IV
HR 7790,Alp Pav,306.4120833,-56.735,1.94,STAR B2IV
HR 3485,Del Vel,131.1757916,-54.7083055,1.96,STAR A1V
HR 3748,30Alp Hya,141.8967083,-8.65861111,1.98,STAR K3II
HR 2294,2Bet CMa,95.675,-17.9558055,1.98,STAR B1II
HR 2891,66Alp Gem,113.65,31.88830556,1.98,STAR A1V
HR 5958,,239.8757916,25.92030556,2.0,STAR
HR 617,13Alp Ari,31.79329167,23.4625,2.0,STAR K2III
HR 7121,34Sig Sgr,283.8162916,-26.2966944,2.02,STAR B2V
HR 424,1Alp UMi,37.95291667,89.26419444,2.02,STAR F7I
HR 188,16Bet Cet,10.8975,-17.9866944,2.04,STAR G9III
HR 1948,50Zet Ori,85.18958333,-1.94280556,2.05,STAR O9I
HR 5288,5The Cen,211.6707916,-36.37,2.06,STAR K0III
HR 337,43Bet And,17.43291667,35.62061111,2.06,STAR M0III
HR 2004,53Kap Ori,86.93920833,-9.66969444,2.06,STAR B0I
HR 15,21Alp And,2.09708333,29.09061111,2.06,STAR B8IV
HR 5563,7Bet UMi,222.6762916,74.15561111,2.08,STAR K4III
HR 6556,55Alp Oph,263.7337916,12.56,2.08,STAR A5III
HR 8636,Bet Gru,340.6670833,-46.8846944,2.1,STAR M5III
HR 936,26Bet Per,47.04208333,40.95561111,2.12,STAR B8V
HR 4534,94Bet Leo,177.265,14.57188889,2.14,STAR A3V
HR 4819,Gam Cen,190.3792083,-48.9596944,2.17,STAR A1IV
HR 7796,37Gam Cyg,305.5570833,40.25669444,2.2,STAR F8I
HR 3634,Lam Vel,136.9992083,-43.4325,2.21,STAR K4I
HR 6705,33Gam Dra,269.1517083,51.48888889,2.23,STAR K5III
HR 1852,34Del Ori,83.00170833,-0.29919444,2.23,STAR O9II
HR 5793,5Alp CrB,233.6720833,26.71469444,2.23,STAR A0V
HR 168,18Alp Cas,10.12708333,56.53719444,2.23,STAR K0III
HR 3165,Zet Pup,120.8962083,-40.0033055,2.25,STAR O5
HR 3699,Iot Car,139.2725,-59.2753055,2.25,STAR A8I
HR 603,57Gam1And,30.975,42.32969444,2.26,STAR K3II
HR 5054,79Zet UMa,200.9812083,54.92530556,2.27,STAR A1V
HR 21,11Bet Cas,2.29458333,59.14969444,2.27,STAR F2III
HR 6241,26Eps Sco,252.5407916,-34.2933055,2.29,STAR K2III
HR 5132,Eps Cen,204.9717083,-53.4663888,2.3,STAR B1III
HR 5469,Alp Lup,220.4825,-47.3883055,2.3,STAR B1III
HR 5440,Eta Cen,218.8767083,-42.1578055,2.31,STAR B1V
HR 5953,7Del Sco,240.0832916,-22.6216944,2.32,STAR B0IV
HR 4295,48Bet UMa,165.4604166,56.3825,2.37,STAR A1V
HR 8308,8Eps Peg,326.0467083,9.875,2.39,STAR K2I
HR 99,Alp Phe,6.57079167,-42.3061111,2.39,STAR K0III
HR 6580,Kap Sco,265.6220833,-39.03,2.41,STAR B1III
HR 8775,53Bet Peg,345.9437916,28.08280556,2.42,STAR M2II
HR 6378,35Eta Oph,257.5945833,-15.7246944,2.43,STAR A2V
HR 8162,5Alp Cep,319.645,62.58561111,2.44,STAR A7V
HR 4554,64Gam UMa,178.4575,53.69469444,2.44,STAR A0V
HR 2827,31Eta CMa,111.0237916,-29.3031111,2.45,STAR B5I
HR 7949,53Eps Cyg,311.5529166,33.97030556,2.46,STAR K0III
HR 264,27Gam Cas,14.17708333,60.71669444,2.47,STAR B0IV
HR 8781,54Alp Peg,346.1904166,15.20530556,2.49,STAR B9V
HR 3734,Kap Vel,140.5282916,-55.0108055,2.5,STAR B2IV
HR 911,92Alp Cet,45.57,4.08969444,2.53,STAR M1III
HR 5231,Zet Cen,208.885,-47.2883055,2.55,STAR B2IV
HR 4357,68Del Leo,168.5270833,20.52361111,2.56,STAR A4V
HR 6175,13Zet Oph,249.2895833,-10.5671944,2.56,STAR O9V
HR 1865,11Alp Lep,83.1825,-17.8221944,2.58,STAR F0I
HR 4662,4Gam Crv,183.9517083,-17.5418888,2.59,STAR B8III
HR 4621,Del Cen,182.0895833,-50.7225,2.6,STAR B2IV
HR 7194,38Zet Sgr,285.6529166,-29.8803055,2.6,STAR A2III
